,regulatorId,regulatorName,RegulatorGeneName,regulatedId,regulatedName,function,confidenceLevel
313,RDBECOLIPDC00358,DsrA,dsrA,RDBECOLIGNC00450,hns,-,S 
315,RDBECOLIPDC00358,DsrA,dsrA,RDBECOLIGNC00539,lrp,-,S 
316,RDBECOLIPDC00358,DsrA,dsrA,RDBECOLIGNC00804,rbsA,-,S 
317,RDBECOLIPDC00358,DsrA,dsrA,RDBECOLIGNC00805,rbsB,-,S 
318,RDBECOLIPDC00358,DsrA,dsrA,RDBECOLIGNC00806,rbsC,-,S 
319,RDBECOLIPDC00358,DsrA,dsrA,RDBECOLIGNC00807,rbsD,-,S 
320,RDBECOLIPDC00358,DsrA,dsrA,RDBECOLIGNC00808,rbsK,-,S 
321,RDBECOLIPDC00358,DsrA,dsrA,RDBECOLIGNC00809,rbsR,-,S 
355,RDBECOLIPDC00713,RpsH,rpsH,RDBECOLIGNC00756,secY,-,S 
356,RDBECOLIPDC00713,RpsH,rpsH,RDBECOLIGNC00858,rplE,-,S 
357,RDBECOLIPDC00713,RpsH,rpsH,RDBECOLIGNC00859,rplF,-,S 
358,RDBECOLIPDC00713,RpsH,rpsH,RDBECOLIGNC00865,rplN,-,S 
359,RDBECOLIPDC00713,RpsH,rpsH,RDBECOLIGNC00866,rplO,-,S 
360,RDBECOLIPDC00713,RpsH,rpsH,RDBECOLIGNC00869,rplR,-,S 
361,RDBECOLIPDC00713,RpsH,rpsH,RDBECOLIGNC00874,rplX,-,S 
362,RDBECOLIPDC00713,RpsH,rpsH,RDBECOLIGNC00878,rpmD,-,S 
363,RDBECOLIPDC00713,RpsH,rpsH,RDBECOLIGNC00894,rpsE,-,S 
364,RDBECOLIPDC00713,RpsH,rpsH,RDBECOLIGNC00897,rpsH,-,S 
365,RDBECOLIPDC00713,RpsH,rpsH,RDBECOLIGNC00903,rpsN,-,S 
366,RDBECOLIPDC00713,RpsH,rpsH,RDBECOLIGNC01209,rpmJ,-,S 
368,RDBECOLIPDC01031,CsrA,csrA,RDBECOLIGNC01542,moaA,+,C 
369,RDBECOLIPDC01031,CsrA,csrA,RDBECOLIGNC01543,moaB,+,C 
370,RDBECOLIPDC01031,CsrA,csrA,RDBECOLIGNC01544,moaD,+,C 
371,RDBECOLIPDC01031,CsrA,csrA,RDBECOLIGNC01545,moaE,+,C 
372,RDBECOLIPDC01031,CsrA,csrA,RDBECOLIGNC01607,moaC,+,C 
373,RDBECOLIPDC01031,CsrA,csrA,RDBECOLIGNC01824,rpoE,-,C 
374,RDBECOLIPDC01031,CsrA,csrA,RDBECOLIGNC02759,idlP,-,S 
375,RDBECOLIPDC01031,CsrA,csrA,RDBECOLIGNC02760,ytiC,-,S 
376,RDBECOLIPDC01031,CsrA,csrA,RDBECOLIGNC02761,ytiD,-,S 
377,RDBECOLIPDC01031,CsrA,csrA,RDBECOLIGNC03414,ymdA,+,S 
378,RDBECOLIPDC01031,CsrA,csrA,RDBECOLIGNC04661,iraD,-,S 
384,RDBECOLIPDC03275,GcvB,gcvB,RDBECOLIGNC00163,cstA,-,S 
386,RDBECOLIPDC03275,GcvB,gcvB,RDBECOLIGNC00365,gdhA,-,S 
390,RDBECOLIPDC03275,GcvB,gcvB,RDBECOLIGNC00489,ilvD,-,S 
393,RDBECOLIPDC03275,GcvB,gcvB,RDBECOLIGNC00539,lrp,-,S 
394,RDBECOLIPDC03275,GcvB,gcvB,RDBECOLIGNC00562,map,-,S 
402,RDBECOLIPDC03275,GcvB,gcvB,RDBECOLIGNC00721,phoP,-,S 
403,RDBECOLIPDC03275,GcvB,gcvB,RDBECOLIGNC00722,phoQ,-,S 
420,RDBECOLIPDC03275,GcvB,gcvB,RDBECOLIGNC01584,ydeE,-,S 
439,RDBECOLIPDC03411,McaS,mcaS,RDBECOLIGNC00313,flhC,+,S 
440,RDBECOLIPDC03411,McaS,mcaS,RDBECOLIGNC00314,flhD,+,S 
441,RDBECOLIPDC03411,McaS,mcaS,RDBECOLIGNC03408,csgG,-,S 
442,RDBECOLIPDC03411,McaS,mcaS,RDBECOLIGNC03409,csgF,-,S 
443,RDBECOLIPDC03411,McaS,mcaS,RDBECOLIGNC03410,csgE,-,S 
444,RDBECOLIPDC03411,McaS,mcaS,RDBECOLIGNC03411,csgD,-,S 
466,RDBECOLIPDC04132,SgrS,sgrS,RDBECOLIGNC00559,manX,-,S 
467,RDBECOLIPDC04132,SgrS,sgrS,RDBECOLIGNC00560,manY,-,S 
468,RDBECOLIPDC04132,SgrS,sgrS,RDBECOLIGNC00561,manZ,-,S 
469,RDBECOLIPDC04132,SgrS,sgrS,RDBECOLIGNC00777,ptsG,-,S 
470,RDBECOLIPDC04132,SgrS,sgrS,RDBECOLIGNC00790,purR,-,S 
471,RDBECOLIPDC04132,SgrS,sgrS,RDBECOLIGNC01262,yeiB,-,S 
472,RDBECOLIPDC04132,SgrS,sgrS,RDBECOLIGNC01342,folE,-,S 
474,RDBECOLIPDC04132,SgrS,sgrS,RDBECOLIGNC01889,adiY,-,S 
480,RDBECOLIPDC04143,RydC,rydC,RDBECOLIGNC00698,pheA,-,S 
481,RDBECOLIPDC04143,RydC,rydC,RDBECOLIGNC01012,trpA,+,S 
482,RDBECOLIPDC04143,RydC,rydC,RDBECOLIGNC01013,trpB,+,S 
483,RDBECOLIPDC04143,RydC,rydC,RDBECOLIGNC01014,trpC,+,S 
484,RDBECOLIPDC04143,RydC,rydC,RDBECOLIGNC01015,trpD,+,S 
485,RDBECOLIPDC04143,RydC,rydC,RDBECOLIGNC01016,trpE,+,S 
486,RDBECOLIPDC04143,RydC,rydC,RDBECOLIGNC01247,trpL,+,S 
487,RDBECOLIPDC04143,RydC,rydC,RDBECOLIGNC01484,cfa,+,S 
529,RDBECOLIPDC04176,SdhX,sdhX,RDBECOLIGNC00024,ackA,-,S 
530,RDBECOLIPDC04176,SdhX,sdhX,RDBECOLIGNC00278,fdhE,-,S 
531,RDBECOLIPDC04176,SdhX,sdhX,RDBECOLIGNC00503,katG,-,S 
532,RDBECOLIPDC04176,SdhX,sdhX,RDBECOLIGNC01784,fdoI,-,S 
533,RDBECOLIPDC04176,SdhX,sdhX,RDBECOLIGNC01785,fdoH,-,S 
534,RDBECOLIPDC04176,SdhX,sdhX,RDBECOLIGNC01786,fdoG,-,S 
539,RDBECOLIPDC04198,RprA,rprA,RDBECOLIGNC00502,rpoS,+,S 
540,RDBECOLIPDC04198,RprA,rprA,RDBECOLIGNC01450,hdeD,-,S 
541,RDBECOLIPDC04198,RprA,rprA,RDBECOLIGNC01480,narP,-,S 
543,RDBECOLIPDC04198,RprA,rprA,RDBECOLIGNC03408,csgG,-,S 
544,RDBECOLIPDC04198,RprA,rprA,RDBECOLIGNC03409,csgF,-,S 
545,RDBECOLIPDC04198,RprA,rprA,RDBECOLIGNC03410,csgE,-,S 
546,RDBECOLIPDC04198,RprA,rprA,RDBECOLIGNC03411,csgD,-,S 
547,RDBECOLIPDC04198,RprA,rprA,RDBECOLIGNC03535,dgcM,-,S 
549,RDBECOLIPDC04224,RybB,rybB,RDBECOLIGNC00651,nmpC,-,S 
551,RDBECOLIPDC04224,RybB,rybB,RDBECOLIGNC00663,ompF,-,S 
552,RDBECOLIPDC04224,RybB,rybB,RDBECOLIGNC00805,rbsB,-,S 
553,RDBECOLIPDC04224,RybB,rybB,RDBECOLIGNC00921,sdhC,-,S 
557,RDBECOLIPDC04224,RybB,rybB,RDBECOLIGNC01999,rluD,-,S 
