Data,Method,Filtered?,Edges,Resolution,Iterations,Recall,Precision,Recovery,Relevence,f1rprr
Directed,Louvain,Yes,1000,1,,0.006576728,0.013359929,0.229571094,0.119796726,0.016694114
Directed,Louvain,Yes,1000,1.5,,0.006749453,0.013921139,0.238038647,0.124069506,0.017222497
Directed,Louvain,Yes,1000,2,,0.006742005,0.013837244,0.237677916,0.123672439,0.017175799
Directed,Louvain,Yes,1000,2.5,,0.006742005,0.013837244,0.237677916,0.123672439,0.017175799
Directed,Louvain,Yes,1000,3,,0.00674166,0.013955885,0.235875542,0.12527144,0.017225938
Directed,Louvain,Yes,1000,3.5,,0.006715698,0.013947058,0.229693079,0.125415167,0.017172415
Directed,Louvain,Yes,1000,4,,0.006715659,0.013946487,0.229651911,0.125394173,0.017171978
Directed,Louvain,Yes,1000,4.5,,0.007320125,0.015793674,0.242019476,0.130030687,0.018890329
Directed,Louvain,Yes,1000,5,,0.007490588,0.016818243,0.241394585,0.136072296,0.019564519
Directed,Louvain,Yes,1000,5.5,,0.007413274,0.016365862,0.238250172,0.135206971,0.019268816
Directed,Louvain,Yes,1000,6,,0.007415196,0.016362847,0.238260452,0.13520778,0.019271037
Directed,Louvain,Yes,1000,6.5,,0.007422464,0.01645078,0.234647307,0.135706712,0.01931023
Directed,Louvain,Yes,1000,7,,0.007412916,0.016451254,0.234764069,0.135757945,0.019294687
Directed,Louvain,Yes,1000,7.5,,0.007317296,0.016540894,0.23471976,0.135743508,0.019162047
Directed,Louvain,Yes,1000,8,,0.006806759,0.016416727,0.234712973,0.136380302,0.018229943
Directed,Louvain,Yes,1000,8.5,,0.005950694,0.015396859,0.232135766,0.135144983,0.016346331
Directed,Louvain,Yes,1000,9,,0.005871831,0.01562304,0.233283609,0.136047919,0.016263493
Directed,Louvain,Yes,1000,9.5,,0.0057814,0.015967712,0.232809915,0.139187407,0.016189431
Directed,Louvain,Yes,1500,1,,0.00662933,0.011790911,0.165079809,0.111740138,0.015957687
Directed,Louvain,Yes,1500,1.5,,0.006815454,0.012287697,0.164863376,0.116686807,0.016478322
Directed,Louvain,Yes,1500,2,,0.006863465,0.012520855,0.164567329,0.118912176,0.016663066
Directed,Louvain,Yes,1500,2.5,,0.006846408,0.012632212,0.165889291,0.12269494,0.016708221
Directed,Louvain,Yes,1500,3,,0.006770127,0.012460362,0.165468739,0.121229793,0.016511565
Directed,Louvain,Yes,1500,3.5,,0.007194309,0.013703479,0.177453366,0.129993343,0.017754033
Directed,Louvain,Yes,1500,4,,0.006845468,0.012938697,0.163970467,0.127729087,0.01685649
Directed,Louvain,Yes,1500,4.5,,0.007031084,0.013407934,0.171803025,0.13038013,0.017368742
Directed,Louvain,Yes,1500,5,,0.007031063,0.013407889,0.168506905,0.130405221,0.017360219
Directed,Louvain,Yes,1500,5.5,,0.007381527,0.014708138,0.172103412,0.134817228,0.018459482
Directed,Louvain,Yes,1500,6,,0.007374375,0.014777089,0.170579406,0.134904919,0.018471311
Directed,Louvain,Yes,1500,6.5,,0.007348792,0.014746077,0.171047563,0.135147614,0.018421543
Directed,Louvain,Yes,1500,7,,0.007348459,0.014735922,0.170771931,0.135028243,0.018415701
Directed,Louvain,Yes,1500,7.5,,0.007387696,0.015432003,0.171061891,0.140948702,0.018770423
Directed,Louvain,Yes,1500,8,,0.007372941,0.015215706,0.172309041,0.139440078,0.018663009
Directed,Louvain,Yes,1500,8.5,,0.007416857,0.015502316,0.173426776,0.141263612,0.018851955
Directed,Louvain,Yes,1500,9,,0.007412944,0.015567739,0.171811122,0.141817584,0.01886737
Directed,Louvain,Yes,1500,9.5,,0.007408872,0.01555287,0.171636722,0.141525519,0.018853495
Directed,Louvain,Yes,2000,1,,0.006477084,0.012033079,0.153189816,0.088920628,0.015669773
Directed,Louvain,Yes,2000,1.5,,0.006454659,0.012219155,0.143857203,0.095339286,0.015735284
Directed,Louvain,Yes,2000,2,,0.006524353,0.012585668,0.142054487,0.099057014,0.016008829
Directed,Louvain,Yes,2000,2.5,,0.006923567,0.012708993,0.140182327,0.100570616,0.016653102
Directed,Louvain,Yes,2000,3,,0.007052692,0.012713785,0.139193832,0.098293106,0.016820682
Directed,Louvain,Yes,2000,3.5,,0.007100727,0.012849647,0.146594679,0.115569406,0.017084661
Directed,Louvain,Yes,2000,4,,0.007251154,0.013213162,0.144854802,0.114877703,0.01745204
Directed,Louvain,Yes,2000,4.5,,0.007045825,0.013276944,0.14747405,0.118211804,0.017205277
Directed,Louvain,Yes,2000,5,,0.007005273,0.013398494,0.14500049,0.119574112,0.017193621
Directed,Louvain,Yes,2000,5.5,,0.00713995,0.013738472,0.149282386,0.122374405,0.017565765
Directed,Louvain,Yes,2000,6,,0.007471107,0.015248927,0.155304489,0.126664468,0.018712471
Directed,Louvain,Yes,2000,6.5,,0.007387913,0.014856941,0.151668643,0.127848377,0.018426395
Directed,Louvain,Yes,2000,7,,0.007352763,0.014961652,0.151240627,0.128418854,0.01841283
Directed,Louvain,Yes,2000,7.5,,0.007372188,0.014908043,0.149101003,0.128331119,0.018414339
Directed,Louvain,Yes,2000,8,,0.00732837,0.014966621,0.149447562,0.128505698,0.018370163
Directed,Louvain,Yes,2000,8.5,,0.007274304,0.014961526,0.14933068,0.128452714,0.018282386
Directed,Louvain,Yes,2000,9,,0.007243394,0.014909496,0.146043609,0.128144283,0.018200088
Directed,Louvain,Yes,2000,9.5,,0.007246382,0.014987303,0.144401313,0.128815432,0.018230607
Directed,Louvain,Yes,2500,1,,0.006978821,0.011163339,0.144834608,0.077202658,0.015827358
Directed,Louvain,Yes,2500,1.5,,0.00670503,0.011413592,0.13707751,0.082645472,0.015615751
Directed,Louvain,Yes,2500,2,,0.006820813,0.011866122,0.131621387,0.090127363,0.016027145
Directed,Louvain,Yes,2500,2.5,,0.006841674,0.011913287,0.128389411,0.088815284,0.016054516
Directed,Louvain,Yes,2500,3,,0.00687062,0.01195689,0.131782905,0.089496627,0.016132747
Directed,Louvain,Yes,2500,3.5,,0.007493515,0.012937644,0.131905234,0.096046807,0.01748746
Directed,Louvain,Yes,2500,4,,0.007569534,0.013043922,0.132822242,0.106238121,0.017721521
Directed,Louvain,Yes,2500,4.5,,0.007508993,0.012956858,0.131544981,0.106894817,0.017597129
Directed,Louvain,Yes,2500,5,,0.007285067,0.012823886,0.131039374,0.109185328,0.017238659
Directed,Louvain,Yes,2500,5.5,,0.007307936,0.012848333,0.130970678,0.110419517,0.01728905
Directed,Louvain,Yes,2500,6,,0.007205962,0.012418353,0.127740694,0.108648646,0.016925321
Directed,Louvain,Yes,2500,6.5,,0.007691453,0.014525935,0.14294738,0.115856448,0.018649428
Directed,Louvain,Yes,2500,7,,0.007314588,0.013828671,0.13421049,0.112900708,0.017751352
Directed,Louvain,Yes,2500,7.5,,0.007523408,0.014405802,0.140387629,0.118215794,0.018355596
Directed,Louvain,Yes,2500,8,,0.007530135,0.014487153,0.13876716,0.118620038,0.018393933
Directed,Louvain,Yes,2500,8.5,,0.007519527,0.014492164,0.138920983,0.118356698,0.018379205
Directed,Louvain,Yes,2500,9,,0.007517156,0.014495779,0.141016939,0.118582737,0.018387515
Directed,Louvain,Yes,2500,9.5,,0.007454939,0.014489622,0.136751841,0.118506231,0.018272761
Directed,Louvain,Yes,3000,1,,0.007353864,0.011411316,0.140972331,0.07135703,0.016345019
Directed,Louvain,Yes,3000,1.5,,0.006957824,0.01121306,0.135556175,0.076146448,0.015784422
Directed,Louvain,Yes,3000,2,,0.007188118,0.011693654,0.13143539,0.078255252,0.016325069
Directed,Louvain,Yes,3000,2.5,,0.006960863,0.011656576,0.125663164,0.081774325,0.016023368
Directed,Louvain,Yes,3000,3,,0.00702165,0.012143404,0.122058729,0.085892434,0.016353153
Directed,Louvain,Yes,3000,3.5,,0.006911321,0.01204514,0.122769878,0.087691029,0.016177292
Directed,Louvain,Yes,3000,4,,0.007623118,0.012953799,0.128286966,0.094605982,0.017641154
Directed,Louvain,Yes,3000,4.5,,0.007554693,0.012877841,0.126134449,0.094555374,0.017503579
Directed,Louvain,Yes,3000,5,,0.007523975,0.012781884,0.123923524,0.0947677,0.017409031
Directed,Louvain,Yes,3000,5.5,,0.007560018,0.012834698,0.124443242,0.102040561,0.01754198
Directed,Louvain,Yes,3000,6,,0.007383502,0.013628455,0.128076914,0.105905934,0.017694173
Directed,Louvain,Yes,3000,6.5,,0.007505269,0.014108169,0.128274969,0.10788997,0.0180844
Directed,Louvain,Yes,3000,7,,0.007514589,0.014078889,0.126839295,0.108415596,0.018082318
Directed,Louvain,Yes,3000,7.5,,0.007283036,0.013594132,0.125975048,0.109350179,0.017547743
Directed,Louvain,Yes,3000,8,,0.007253006,0.013635866,0.124282855,0.108672775,0.01750869
Directed,Louvain,Yes,3000,8.5,,0.007283666,0.013719899,0.123954978,0.109133347,0.017589307
Directed,Louvain,Yes,3000,9,,0.007283623,0.013812708,0.123299999,0.109265029,0.017624735
Directed,Louvain,Yes,3000,9.5,,0.007456321,0.014338077,0.129122124,0.113433809,0.01814725
Directed,Louvain,Yes,3500,1,,0.007709078,0.011195207,0.13655646,0.068856568,0.016605293
Directed,Louvain,Yes,3500,1.5,,0.00719412,0.010978915,0.133151681,0.07656148,0.015958017
Directed,Louvain,Yes,3500,2,,0.007028725,0.011416342,0.132668557,0.081815649,0.016023893
Directed,Louvain,Yes,3500,2.5,,0.007038952,0.011448244,0.1250271,0.082663854,0.016031312
Directed,Louvain,Yes,3500,3,,0.007096992,0.011538285,0.121361736,0.083248185,0.01614043
Directed,Louvain,Yes,3500,3.5,,0.007103028,0.01168222,0.119007525,0.087678098,0.016247391
Directed,Louvain,Yes,3500,4,,0.007618981,0.011846759,0.118609547,0.08893401,0.016996849
Directed,Louvain,Yes,3500,4.5,,0.007855739,0.012784567,0.132312804,0.098209134,0.017916733
Directed,Louvain,Yes,3500,5,,0.007824007,0.012464813,0.122246262,0.094196673,0.017634051
Directed,Louvain,Yes,3500,5.5,,0.007479522,0.013298022,0.126134352,0.098633926,0.017623933
Directed,Louvain,Yes,3500,6,,0.007719492,0.014258322,0.129574485,0.105755134,0.018445926
Directed,Louvain,Yes,3500,6.5,,0.007719568,0.014317922,0.128960844,0.10669006,0.018474838
Directed,Louvain,Yes,3500,7,,0.007687961,0.014213185,0.127227053,0.111476294,0.018411019
Directed,Louvain,Yes,3500,7.5,,0.007643736,0.014373603,0.127993915,0.112137124,0.018422265
Directed,Louvain,Yes,3500,8,,0.007606383,0.014309465,0.126630613,0.111783394,0.018332209
Directed,Louvain,Yes,3500,8.5,,0.007303307,0.013399507,0.122198361,0.107285784,0.017462811
Directed,Louvain,Yes,3500,9,,0.007334869,0.013639103,0.125868462,0.111117834,0.017652411
Directed,Louvain,Yes,3500,9.5,,0.007367403,0.014017787,0.128129161,0.11341145,0.017881646
Directed,Louvain,Yes,4000,1,,0.007639755,0.010771256,0.159167003,0.058011647,0.016177658
Directed,Louvain,Yes,4000,1.5,,0.007281192,0.010569288,0.130946295,0.070039447,0.015756202
Directed,Louvain,Yes,4000,2,,0.007284951,0.011011207,0.12753111,0.075111831,0.016048753
Directed,Louvain,Yes,4000,2.5,,0.007340799,0.011569045,0.124602508,0.077374768,0.016419543
Directed,Louvain,Yes,4000,3,,0.007152524,0.011707631,0.122140282,0.081224623,0.016278426
Directed,Louvain,Yes,4000,3.5,,0.007296521,0.011644768,0.119167429,0.082084921,0.016427027
Directed,Louvain,Yes,4000,4,,0.007442519,0.011911214,0.116855842,0.086225816,0.016773415
Directed,Louvain,Yes,4000,4.5,,0.007817383,0.012420275,0.119778201,0.089987892,0.017551948
