edges,precision,recall,recovery,relevance,f1rprr
100,0.0004043875888521296,0.002955620883079911,0.1428151443787343,0.03774653109633182,0.0014061196907987007
200,0.0005673619853829447,0.00552831576328215,0.14090806691026955,0.06559365084664126,0.0020348236614573536
300,0.0007003924305949524,0.007195537243178867,0.15359306775546372,0.08428190064597434,0.0025234655769382124
400,0.0011723728486250909,0.009956554537486473,0.15364676400582092,0.09814210379982001,0.004123264764114155
500,0.0012594588026483182,0.011826633059986194,0.15616558087499074,0.11353578564844827,0.0044754843918238816
600,0.0024061939992366505,0.014978981092806229,0.15026606261790545,0.12211246991064832,0.008045079196906476
700,0.0029999543587789623,0.016554097884714573,0.14922848116210002,0.13231257842092886,0.009803791762709763
800,0.002977551019372968,0.017664146976621522,0.1464551497917415,0.14381905098817024,0.009846407640603776
900,0.003015288580852159,0.018836472813380384,0.14721324555014392,0.14998325030841075,0.010045405512265328
1000,0.0032889844766079476,0.019755562863389232,0.14150252365347799,0.15201189730545567,0.010860436680738897
1100,0.0033517970956830983,0.020476875678206434,0.14403944123082651,0.15258373479385237,0.011090184187255735
1200,0.0036667992707412056,0.021571630008433307,0.14161297417095436,0.16242517260485426,0.012037577440168366
1300,0.0037249327048102603,0.022068179196969535,0.13984933943544753,0.1682288722070035,0.012237274309695316
1400,0.004104562990986527,0.023081413672850895,0.1381799441705421,0.18705428028404705,0.013353845711352438
1500,0.004209537577210882,0.023831876076398414,0.13844654020630043,0.19042409889569867,0.013699060226115427
1600,0.004669156179019748,0.025385366616700426,0.14058769155009573,0.1994877283624388,0.015055135345867452
1700,0.0047506580921704185,0.02554743800344078,0.13991444058134217,0.20093872365027518,0.015280946668498548
1800,0.004841613191982467,0.026399720863418814,0.14077905997111434,0.20386362047255244,0.01559876930999802
1900,0.004956678871794631,0.026934054120408463,0.1411317474683111,0.20662953498169534,0.015948908212329135
2000,0.005288656854389282,0.02805221401625039,0.14659310581134163,0.21271651182677737,0.016930899337550084
2100,0.005500292255632072,0.028881292440902623,0.1470048885704273,0.21488388082878485,0.01755239093416278
2200,0.005437309789570732,0.029418058874706568,0.1452099490951688,0.2186872420629703,0.017439336377456864
2300,0.005499568732628065,0.029891458278632595,0.14382034368084926,0.22191469936019503,0.01764087143573277
2400,0.0054653616056816534,0.02993600934602739,0.13998510670190015,0.22174593122067487,0.01754167627368929
2500,0.0057121168781948655,0.031000955679908043,0.13942280747422392,0.2289440975255964,0.01827620463912004
2600,0.006111605116126694,0.03213717359932463,0.1377817286839081,0.23386257934359891,0.0193917184592166
2700,0.0062102966151504875,0.032615493862741526,0.1369844117050047,0.23664063677281913,0.01968415814079305
2800,0.006278337321256056,0.033350286516732726,0.13743002556921324,0.24062917077281726,0.01993076141849953
2900,0.006243266615968387,0.033599026044963134,0.13835201986369064,0.24075902523719034,0.019869181507317292
3000,0.006242310118403594,0.03364241683140642,0.13891632524513944,0.24063124603964367,0.019873228844203353
3100,0.006263400023349014,0.0337506269595795,0.14183901582097008,0.2407229092374425,0.019951003059227687
3200,0.00646400788528261,0.03456923684512453,0.14171736284785805,0.24647156767744843,0.020539806992444818
3300,0.006324510034968766,0.03463611794243923,0.13856133169670687,0.2481222510491457,0.020178183134810252
3400,0.006686186704241993,0.03513699933910648,0.13680456361419321,0.24752458136689776,0.02112246798637246
3500,0.006713988384407595,0.03519753698139969,0.13647620035526092,0.2471378341125978,0.02119458457786093
3600,0.00714595343989237,0.036527307038713715,0.1392486866216013,0.25046025749513734,0.02241019856567015
3700,0.0071844181971842235,0.03688038814459692,0.13771611478953164,0.25181052790545216,0.02253047009989181
3800,0.008224453604902605,0.03842918887124673,0.1387366408205226,0.2573498241146655,0.02520412606661918
3900,0.008280889979605556,0.03881753046098502,0.1392345401013938,0.2591066767265113,0.025386660499841143
4000,0.008098338615136546,0.0380455013055789,0.13632869884368032,0.2561943866049188,0.02484395931032993
4100,0.00817579949376363,0.03845506879861123,0.13532505083751822,0.2574673365546656,0.025064199743807237
4200,0.008424804006850873,0.03905421166334278,0.13468092607364798,0.25871564276267306,0.025708137028876546
4300,0.00840378957246363,0.038050773171059905,0.1295223570366363,0.2541997122420807,0.02548920139185027
4400,0.008427783338708757,0.038783046653121656,0.12811529529441656,0.25677288601135656,0.025618103028397538
4500,0.00912876882066757,0.03790731738433069,0.1257051676375327,0.2561745828124662,0.027066778883478033
4600,0.009129383272783786,0.03740684244548741,0.12223381641516479,0.2540547600108034,0.026956593322493876
4700,0.00923524020842892,0.037836339755526596,0.1216996346731203,0.2544765219928346,0.027237363552321342
4800,0.00978942172118406,0.039084009453241086,0.12224191130668553,0.25986480113605015,0.028619336028671994
4900,0.01018312095787694,0.03970001944926192,0.12346903026936919,0.26445548698202365,0.029570231373719662
5000,0.010190710976886916,0.039813514401264474,0.12074600901725764,0.26460716436157594,0.029562465003771705
5100,0.010347520913213799,0.04006381552709049,0.12127151370709237,0.2653189332890772,0.029936379337628348
5200,0.010313358003361235,0.03978376774308327,0.12128069296364073,0.2644278487350437,0.029823016462889915
5300,0.010464088677440702,0.04056702189125207,0.12040360061382499,0.26522327966193365,0.030236301607808932
5400,0.010502917515085582,0.04080654094437567,0.11888593371444721,0.2660384341646388,0.03032881105883645
5500,0.010529547450434731,0.04145391728063939,0.11885695035783125,0.26774017700381997,0.030477942469251423
5600,0.010645774826739464,0.04196496381166044,0.11906757920879706,0.2735457520883899,0.0308124464941039
5700,0.010544283284989285,0.04178457404881594,0.11701438619238919,0.2746042443881068,0.030544153553613486
5800,0.01063833579110878,0.04198732802460795,0.1149294876057153,0.27389667834252157,0.030729430585999605
5900,0.010360414938962226,0.04159038459438414,0.11428570229811683,0.2725092903275403,0.030078614150707766
6000,0.010427454796220497,0.042222349261916495,0.11511367942649826,0.274479773085879,0.03032252417194252
6100,0.010714710754960567,0.04324728788808285,0.11469842631614827,0.27462518398833125,0.03105293269182716
6200,0.010830180712495039,0.04378301071571074,0.11262906284005252,0.27763566843799076,0.031334451772966364
6300,0.010978052421711198,0.04435936146464952,0.11369140228251087,0.27892105455383287,0.03174225842432136
6400,0.01114077383070016,0.04367739630576459,0.11117867946527318,0.2734873338645346,0.03192172382545213
6500,0.01114211275933848,0.04315582651163377,0.11013731126771241,0.27136107491793865,0.03182530970121121
6600,0.011522352597728132,0.043311568117841925,0.10991942696519309,0.2716867825895508,0.03261189471929607
6700,0.012047552356911313,0.04425538644896817,0.10940988017681048,0.2737982318938639,0.0337858387729292
6800,0.01214923048065732,0.04469221508939902,0.10920231397995135,0.27485798823579466,0.034048186674729
6900,0.012445271374618056,0.045131673959892385,0.11140234819267898,0.27589336969021905,0.034749294257331406
7000,0.012786036155617046,0.04572788512654674,0.11109950165767796,0.27894322371855695,0.03550357345860991
7100,0.013378866905854441,0.04752666985662673,0.11312373492887028,0.28374721084890253,0.0369857690389048
7200,0.01345264494008604,0.0478400282056177,0.11282159744852346,0.2847355344158352,0.03717009074030159
7300,0.013407477147017677,0.047017837220209927,0.11087288292106205,0.2810952225412881,0.03688994770129037
7400,0.013481046186653215,0.047077654154239645,0.11093109869163043,0.28121859146798006,0.03704037176851492
